,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,76.0222363948822,11.036982762306957,0.056113243103027344,0.03619983948792668,squared_error,10,"{'criterion': 'squared_error', 'n_estimators': 10}",-0.015142812792563487,-0.015430625963246156,-0.015320138752469422,-0.015774206202589517,-0.014243963306444578,-0.015182349403462633,0.00051245550756891,9
1,106.57813773155212,8.84042013528973,0.045610475540161136,0.007560896016676217,squared_error,15,"{'criterion': 'squared_error', 'n_estimators': 15}",-0.014434719618724334,-0.01354278240555702,-0.01493547496776398,-0.015537898441763625,-0.013434916091604845,-0.014377158305082762,0.0008057731685935816,8
2,139.86907696723938,13.555799910944994,0.05136384963989258,0.019986274053295252,squared_error,20,"{'criterion': 'squared_error', 'n_estimators': 20}",-0.014379632208038355,-0.013416053789475725,-0.013898840578045586,-0.014506204789336693,-0.01299557756552519,-0.01383926178608431,0.0005711866362889749,5
3,148.22320289611815,4.791280324547818,0.04739136695861816,0.0015187864156968364,squared_error,25,"{'criterion': 'squared_error', 'n_estimators': 25}",-0.013903354074519052,-0.01359447424799299,-0.013216207382354891,-0.014727142055832641,-0.012787951257238944,-0.013645825803587702,0.0006570728049608488,2
4,164.6675076007843,13.435486159668224,0.055568885803222653,0.00930719587148704,squared_error,30,"{'criterion': 'squared_error', 'n_estimators': 30}",-0.014358560738528618,-0.012697229394874271,-0.012833749076770953,-0.014715568595553289,-0.012378941455204935,-0.01339680985218641,0.0009493782931186879,1
5,64.96283760070801,3.5990981135702906,0.046732187271118164,0.013363352727929764,friedman_mse,10,"{'criterion': 'friedman_mse', 'n_estimators': 10}",-0.01610049521470534,-0.014953296726223302,-0.014958717985226659,-0.016680250472809386,-0.014529893800211423,-0.015444530839835222,0.0008088483505265178,10
6,94.48081188201904,9.374215439763333,0.04362483024597168,0.0071753864086893234,friedman_mse,15,"{'criterion': 'friedman_mse', 'n_estimators': 15}",-0.014800111549551683,-0.01349832625714961,-0.013873190051656811,-0.015155296108850367,-0.013622341260583062,-0.014189853045558306,0.0006640858569543977,7
7,164.82805290222169,3.9520160120904926,0.05699930191040039,0.0014085126425016875,friedman_mse,20,"{'criterion': 'friedman_mse', 'n_estimators': 20}",-0.014263878692140798,-0.013502765713417407,-0.0135690978274775,-0.01478834347680343,-0.013129841261454382,-0.013850785394258703,0.0005949600418611352,6
8,212.90814604759217,7.55143916910689,0.07160167694091797,0.004890322605677787,friedman_mse,25,"{'criterion': 'friedman_mse', 'n_estimators': 25}",-0.014251119871046719,-0.013112735379753935,-0.013403309034284038,-0.01485267313261686,-0.012727230187379982,-0.013669413521016308,0.0007754865790084607,3
9,242.41082019805907,11.686577256170128,0.07444176673889161,0.005313759336238965,friedman_mse,30,"{'criterion': 'friedman_mse', 'n_estimators': 30}",-0.014427610996602298,-0.013169366952165456,-0.013389015328733718,-0.015027973911422165,-0.012402198833894658,-0.01368323320456366,0.0009331771116577618,4
