,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.07382740974426269,0.03786762253627024,1.520640993118286,0.15563517006066896,7,uniform,"{'n_neighbors': 7, 'weights': 'uniform'}",-0.047460041793983145,-0.04669632976612074,-0.04275228233646726,-0.0459554738503954,-0.04702652161446221,-0.04597812987228575,0.0016862742894269234,11
1,0.04028019905090332,0.0024193355864443396,1.2734203815460206,0.2655042072753203,7,distance,"{'n_neighbors': 7, 'weights': 'distance'}",-0.04685485034137905,-0.046227363986764004,-0.042206136195809485,-0.04545642129602599,-0.046519967728895224,-0.045452947909774756,0.0016879206351477244,8
2,0.053769397735595706,0.03303191291208027,1.4327919006347656,0.196240934439001,9,uniform,"{'n_neighbors': 9, 'weights': 'uniform'}",-0.0470361410629457,-0.04564746066855451,-0.041397270131526824,-0.04566837093676598,-0.0467697563619213,-0.04530379983234286,0.0020328317121564216,6
3,0.04150223731994629,0.002560439059322402,1.3212743759155274,0.16963940537014346,9,distance,"{'n_neighbors': 9, 'weights': 'distance'}",-0.04639570111564095,-0.045144467647545775,-0.04084413567468171,-0.04509497493546971,-0.046176734305215794,-0.04473120273571079,0.00201358013562085,2
4,0.04065709114074707,0.0028166011609881783,1.3308301448822022,0.30944594324307256,11,uniform,"{'n_neighbors': 11, 'weights': 'uniform'}",-0.046983871617765495,-0.04538974969473583,-0.041268003978277845,-0.04533184972172256,-0.04713286641794603,-0.04522126828608955,0.0021180127879187305,4
5,0.04494853019714355,0.010514493452437023,1.1582877159118652,0.04169285840042207,11,distance,"{'n_neighbors': 11, 'weights': 'distance'}",-0.046341410399718425,-0.044865746514194726,-0.04065325569677954,-0.04472794231049468,-0.04650537873993854,-0.044618746732225184,0.002113054763257978,1
6,0.041652488708496097,0.0018671744128398089,1.3879369258880616,0.22856062229937893,13,uniform,"{'n_neighbors': 13, 'weights': 'uniform'}",-0.04712819351017219,-0.0455844459883626,-0.041354504644935335,-0.04549936189089977,-0.04748758866868405,-0.04541081894061079,0.0021796339044287062,7
7,0.046372079849243165,0.005744958273313003,1.1995184898376465,0.1496056285710881,13,distance,"{'n_neighbors': 13, 'weights': 'distance'}",-0.04643956969188053,-0.04505195248804598,-0.04072501529697108,-0.04490400348593653,-0.04688480725401071,-0.04480106964336897,0.002177815485823507,3
8,0.052993392944335936,0.012277122287465855,1.2573114395141602,0.3834271474859688,15,uniform,"{'n_neighbors': 15, 'weights': 'uniform'}",-0.04750991670964445,-0.04624592235840314,-0.04221056727404582,-0.04580245730371565,-0.047671592573579474,-0.0458880912438777,0.001973360264187752,10
9,0.07208757400512696,0.050126005007459014,2.038322687149048,0.9609525096889471,15,distance,"{'n_neighbors': 15, 'weights': 'distance'}",-0.04680968161166151,-0.04563683652336355,-0.041532902155466615,-0.04519371195996151,-0.04703283172501223,-0.045241192795093074,0.0019789055096324265,5
10,0.08286108970642089,0.03612974595902175,2.3356768608093263,0.9586656263834338,17,uniform,"{'n_neighbors': 17, 'weights': 'uniform'}",-0.04784619402572224,-0.04615895297748037,-0.04260762120621495,-0.04584266342635301,-0.04807435126565497,-0.046105956580285115,0.0019602798930962707,13
11,0.04057092666625976,0.006622339565997477,1.1640636444091796,0.04198081840800259,17,distance,"{'n_neighbors': 17, 'weights': 'distance'}",-0.047153591481291765,-0.045592112272223546,-0.04193248603598217,-0.045245797869997995,-0.04740299686304997,-0.045465396904509084,0.001957040329361913,9
12,0.03738088607788086,0.0012362245549962117,1.1589887619018555,0.047036599070782864,19,uniform,"{'n_neighbors': 19, 'weights': 'uniform'}",-0.048664150695641915,-0.046860377330035285,-0.04307268495269208,-0.04670761689399908,-0.04835218105308897,-0.04673140218509147,0.0019882581853835845,15
13,0.03716602325439453,0.0017188176776144779,1.1622489452362061,0.03925779586100358,19,distance,"{'n_neighbors': 19, 'weights': 'distance'}",-0.04793429873588024,-0.046282185446184336,-0.042380897552955536,-0.04606540034241208,-0.047682162297297596,-0.04606898887494596,0.00198641348277618,12
14,0.03673076629638672,0.0005403833122610622,1.1585269927978517,0.06369021992870694,20,uniform,"{'n_neighbors': 20, 'weights': 'uniform'}",-0.048959556616023164,-0.04697416766527312,-0.04333393386707129,-0.04681384361145007,-0.048489858495747565,-0.04691427205111305,0.0019747484125412942,16
15,0.03937849998474121,0.0029553677789972174,1.153226375579834,0.018800377772821612,20,distance,"{'n_neighbors': 20, 'weights': 'distance'}",-0.0482341263065997,-0.04639294049239098,-0.042633089148714165,-0.04616528399302967,-0.04781725767030597,-0.0462485395222081,0.001974978280034905,14
