,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,52.719708108901976,0.30000784218423965,12.901674032211304,0.27198625818602445,0.001,0.001,poly,"{'C': 0.001, 'epsilon': 0.001, 'kernel': 'poly'}",-0.09287171988123362,-0.08395395007563773,-0.07607126244757212,-0.08668912978038654,-0.09167859652744825,-0.08625293174245566,0.006039671677304496,19
1,48.10803780555725,4.961308562610945,15.636248970031739,1.507537131956835,0.001,0.001,rbf,"{'C': 0.001, 'epsilon': 0.001, 'kernel': 'rbf'}",-0.1287276450894471,-0.1190351518421644,-0.11173050189223797,-0.12220551695254141,-0.128194033060148,-0.12197856976730777,0.006291583440240347,23
2,43.942392635345456,0.43677973835674283,10.528507709503174,0.11044033400127655,0.001,0.001,sigmoid,"{'C': 0.001, 'epsilon': 0.001, 'kernel': 'sigmoid'}",-0.17541259871808793,-0.16290857914680998,-0.15870646420313517,-0.16810019013574923,-0.17251025194669994,-0.16752761683009645,0.006106974292680074,26
3,41.315886449813846,0.14900736893299985,9.972160911560058,0.14098895471016654,0.001,0.01,poly,"{'C': 0.001, 'epsilon': 0.01, 'kernel': 'poly'}",-0.09298274544620523,-0.08416666444549628,-0.07622424856249979,-0.08673082270300894,-0.09196858837638969,-0.08641461390671998,0.00604952551794724,20
4,49.50297040939331,11.468018017181455,16.057352590560914,3.0713865395417153,0.001,0.01,rbf,"{'C': 0.001, 'epsilon': 0.01, 'kernel': 'rbf'}",-0.1286733195227939,-0.11908006641603479,-0.11146711365227943,-0.12212839855977219,-0.12809767907966377,-0.12188931544610881,0.006342520341290815,22
5,54.54923567771912,3.51109231899537,14.39111785888672,2.4568090181065405,0.001,0.01,sigmoid,"{'C': 0.001, 'epsilon': 0.01, 'kernel': 'sigmoid'}",-0.1754403404845116,-0.16275889395715656,-0.15870504247320008,-0.16796883432820647,-0.17241527239861099,-0.16745767672833717,0.006119626189578993,25
6,39.50464043617249,7.319126747096066,9.027360439300537,1.2074243691391682,0.001,0.1,poly,"{'C': 0.001, 'epsilon': 0.1, 'kernel': 'poly'}",-0.09558976174845724,-0.08677073193742042,-0.07864862622981934,-0.08939447586735652,-0.09465564936125115,-0.08901184902886092,0.006126774254633086,21
7,41.52981538772583,2.7311882628216564,14.047191524505616,1.9903682265157732,0.001,0.1,rbf,"{'C': 0.001, 'epsilon': 0.1, 'kernel': 'rbf'}",-0.13144845005950553,-0.12184506457691581,-0.11411901491293998,-0.1249971420871317,-0.13085234451302172,-0.12465240322990294,0.006380874376642167,24
8,49.17245759963989,4.735297136620235,12.463511943817139,2.0660025521522725,0.001,0.1,sigmoid,"{'C': 0.001, 'epsilon': 0.1, 'kernel': 'sigmoid'}",-0.17670653664495806,-0.16405539964377186,-0.16011517673883954,-0.16877184207847878,-0.1734409589653217,-0.16861798281427398,0.006030329195704404,27
9,1.3574649333953857,0.18309012477943998,0.17844033241271973,0.03169356808220072,0.001,1,poly,"{'C': 0.001, 'epsilon': 1, 'kernel': 'poly'}",-0.2998151903908565,-0.287645792400756,-0.2957259017787342,-0.29002278558024197,-0.29063795621890437,-0.2927695252738986,0.004398235171404589,40
